order_id,product,category,price,quantity,order_date
101,T-shirt,Clothing,759.24,5,2024-02-23
102,Mobile,Electronics,1169.14,5,2024-02-23
103,Headphones,Electronics,721.29,2,2024-02-27
104,Laptop,Electronics,486.37,1,2024-02-26
105,Smartwatch,Electronics,622.33,3,2024-02-28
106,T-shirt,Clothing,854.01,1,2024-03-01
107,Sunglasses,Accessories,529.56,5,2024-02-26
108,Wallet,Accessories,146.62,3,2024-02-06
109,Camera,Electronics,634.38,4,2024-02-16
110,Camera,Electronics,1085.22,2,2024-02-14
111,Belt,Accessories,321.9,1,2024-02-12
112,Laptop,Electronics,1157.09,2,2024-02-05
113,Sweater,Clothing,326.37,5,2024-02-07
114,T-shirt,Clothing,1449.19,2,2024-02-17
115,Belt,Accessories,650.42,4,2024-02-02
116,Smartwatch,Electronics,181.06,3,2024-02-04
117,Headphones,Electronics,161.3,1,2024-02-26
118,Camera,Electronics,1288.89,5,2024-02-10
119,Sweater,Clothing,824.48,2,2024-02-29
120,Watch,Accessories,563.51,4,2024-02-27
121,Laptop,Electronics,256.0,5,2024-02-16
122,Watch,Accessories,859.11,3,2024-02-25
123,Camera,Electronics,1442.46,2,2024-02-16
124,Jacket,Clothing,1399.08,2,2024-02-03
125,Camera,Electronics,1245.9,1,2024-02-09
126,Smartwatch,Electronics,162.09,3,2024-02-07
127,Tablet,Electronics,1202.08,1,2024-02-04
128,Sweater,Clothing,15.88,2,2024-02-22
129,Mobile,Electronics,1314.58,2,2024-02-13
130,Sweater,Clothing,853.64,2,2024-02-15
131,Belt,Accessories,853.97,1,2024-02-04
132,Tablet,Electronics,863.75,3,2024-02-11
133,Backpack,Accessories,824.5,5,2024-02-04
134,Camera,Electronics,792.54,2,2024-02-01
135,T-shirt,Clothing,855.56,4,2024-02-26
136,Smartwatch,Electronics,1332.24,3,2024-02-22
137,Backpack,Accessories,1125.85,5,2024-02-12
138,Wallet,Accessories,1201.92,5,2024-02-20
139,Camera,Electronics,660.73,2,2024-02-15
140,Mobile,Electronics,273.73,3,2024-02-18
141,Jacket,Clothing,844.19,2,2024-02-20
142,Mobile,Electronics,1124.28,5,2024-02-29
143,Camera,Electronics,1091.55,1,2024-02-18
144,Tablet,Electronics,234.87,3,2024-02-12
145,Sunglasses,Accessories,1262.74,2,2024-02-21
146,Belt,Accessories,339.52,3,2024-02-19
147,Cap,Clothing,1274.87,2,2024-02-15
148,Wallet,Accessories,198.79,2,2024-02-06
149,Sweater,Clothing,363.27,3,2024-02-12
150,Mobile,Electronics,938.54,2,2024-02-19
151,Belt,Accessories,1208.08,2,2024-02-22
152,Cap,Clothing,44.08,3,2024-02-28
153,Watch,Accessories,325.59,5,2024-02-26
154,Camera,Electronics,191.91,4,2024-02-08
155,Sunglasses,Accessories,486.11,4,2024-02-03
156,Watch,Accessories,1192.83,3,2024-02-15
157,Watch,Accessories,1023.99,2,2024-02-28
158,Camera,Electronics,546.33,1,2024-02-18
159,Bracelet,Accessories,931.48,2,2024-02-07
160,Smartwatch,Electronics,681.91,1,2024-02-06
161,Camera,Electronics,327.32,3,2024-02-27
162,Mobile,Electronics,392.94,2,2024-02-13
163,Jacket,Clothing,1194.67,2,2024-02-29
164,Tablet,Electronics,1287.73,4,2024-02-23
165,Jacket,Clothing,1112.33,1,2024-02-04
166,Laptop,Electronics,461.36,5,2024-02-27
167,Belt,Accessories,602.77,2,2024-02-01
168,Headphones,Electronics,837.51,1,2024-02-06
169,Shoes,Clothing,306.21,5,2024-02-02
170,Wallet,Accessories,1486.0,4,2024-02-24
171,Camera,Electronics,1339.3,4,2024-02-05
172,Shoes,Clothing,1489.79,4,2024-02-04
173,T-shirt,Clothing,934.04,5,2024-02-17
174,Smartwatch,Electronics,1160.74,2,2024-02-11
175,Headphones,Electronics,654.14,2,2024-02-20
176,Smartwatch,Electronics,1218.78,2,2024-02-23
177,Backpack,Accessories,923.83,2,2024-02-10
178,Backpack,Accessories,170.37,1,2024-02-12
179,Backpack,Accessories,730.44,4,2024-02-14
180,Wallet,Accessories,229.65,1,2024-02-27
181,Shoes,Clothing,438.61,2,2024-02-27
182,Camera,Electronics,23.97,3,2024-02-05
183,T-shirt,Clothing,1021.9,3,2024-02-13
184,T-shirt,Clothing,768.81,1,2024-02-09
185,Smartwatch,Electronics,603.67,1,2024-02-09
186,Jeans,Clothing,261.53,2,2024-03-02
187,Smartwatch,Electronics,782.69,3,2024-02-20
188,Mobile,Electronics,401.51,5,2024-02-02
189,Jeans,Clothing,1271.95,3,2024-02-08
190,Sweater,Clothing,1470.25,4,2024-03-01
191,Sunglasses,Accessories,237.62,2,2024-02-06
192,Backpack,Accessories,1495.19,1,2024-02-16
193,Shoes,Clothing,1084.67,2,2024-02-07
194,T-shirt,Clothing,433.25,5,2024-02-21
195,Sunglasses,Accessories,546.42,1,2024-02-16
196,Jacket,Clothing,1248.84,2,2024-02-10
197,Headphones,Electronics,337.51,2,2024-02-26
198,Wallet,Accessories,408.96,5,2024-02-26
199,Shoes,Clothing,695.16,3,2024-02-17
200,Jacket,Clothing,287.47,1,2024-02-02
201,Smartwatch,Electronics,647.58,4,2024-02-09
202,Laptop,Electronics,1069.37,3,2024-02-11
203,T-shirt,Clothing,326.79,1,2024-02-03
204,Belt,Accessories,297.79,2,2024-02-07
205,Mobile,Electronics,19.28,5,2024-02-04
206,Tablet,Electronics,1472.24,2,2024-02-13
207,Tablet,Electronics,1153.35,4,2024-02-14
208,Headphones,Electronics,809.28,1,2024-02-14
209,Jacket,Clothing,369.18,1,2024-02-22
210,Bracelet,Accessories,331.59,4,2024-02-04
211,T-shirt,Clothing,656.48,2,2024-02-17
212,Camera,Electronics,807.34,5,2024-02-22
213,Wallet,Accessories,76.03,3,2024-02-10
214,Cap,Clothing,261.24,1,2024-02-12
215,Tablet,Electronics,1062.6,1,2024-02-26
216,Backpack,Accessories,187.63,5,2024-02-05
217,Mobile,Electronics,1263.66,1,2024-02-13
218,Wallet,Accessories,404.65,5,2024-02-17
219,Wallet,Accessories,31.71,2,2024-02-17
220,Laptop,Electronics,1145.91,3,2024-02-24
221,Camera,Electronics,470.14,2,2024-02-15
222,Laptop,Electronics,1492.77,5,2024-02-02
223,Camera,Electronics,977.77,4,2024-02-17
224,T-shirt,Clothing,878.49,3,2024-02-01
225,Bracelet,Accessories,919.62,4,2024-02-04
226,Belt,Accessories,1380.14,5,2024-02-27
227,Sweater,Clothing,561.14,1,2024-02-05
228,T-shirt,Clothing,1215.97,3,2024-02-17
229,Tablet,Electronics,617.14,5,2024-02-13
230,Smartwatch,Electronics,253.23,4,2024-02-29
231,Headphones,Electronics,1191.43,3,2024-02-27
232,Cap,Clothing,1467.87,5,2024-02-27
233,Wallet,Accessories,494.01,2,2024-02-05
234,Tablet,Electronics,26.24,5,2024-02-17
235,Smartwatch,Electronics,1359.44,4,2024-02-17
236,Wallet,Accessories,1219.55,5,2024-02-29
237,Jacket,Clothing,1453.4,3,2024-03-01
238,Mobile,Electronics,1225.89,3,2024-02-04
239,Jacket,Clothing,380.8,3,2024-02-19
240,Bracelet,Accessories,172.36,2,2024-02-16
241,Tablet,Electronics,1063.23,3,2024-02-27
242,Backpack,Accessories,1046.42,5,2024-02-20
243,Jacket,Clothing,1358.96,4,2024-02-08
244,Sunglasses,Accessories,942.38,1,2024-02-26
245,Headphones,Electronics,975.84,2,2024-02-06
246,Mobile,Electronics,1296.29,3,2024-02-05
247,Cap,Clothing,1001.6,4,2024-02-22
248,Sweater,Clothing,1056.87,4,2024-02-21
249,Tablet,Electronics,1397.39,1,2024-02-28
250,Backpack,Accessories,1184.99,3,2024-02-04
251,Watch,Accessories,293.88,2,2024-02-27
252,Laptop,Electronics,1399.76,3,2024-02-25
253,Mobile,Electronics,252.88,5,2024-02-27
254,Bracelet,Accessories,38.53,4,2024-02-05
255,Watch,Accessories,118.04,2,2024-02-10
256,Sunglasses,Accessories,1427.67,4,2024-02-23
257,Watch,Accessories,1451.24,2,2024-02-09
258,Cap,Clothing,661.34,2,2024-02-08
259,Camera,Electronics,232.25,1,2024-02-06
260,Mobile,Electronics,692.91,1,2024-02-24
261,Shoes,Clothing,443.24,3,2024-02-07
262,Smartwatch,Electronics,906.62,5,2024-02-06
263,Jacket,Clothing,410.93,4,2024-02-29
264,Camera,Electronics,544.03,4,2024-02-13
265,Shoes,Clothing,87.36,4,2024-02-19
266,Bracelet,Accessories,1349.83,4,2024-03-01
267,Laptop,Electronics,1256.59,2,2024-02-11
268,T-shirt,Clothing,335.81,5,2024-02-06
269,Shoes,Clothing,510.18,3,2024-02-08
270,Headphones,Electronics,590.74,3,2024-02-19
271,Smartwatch,Electronics,94.93,3,2024-02-02
272,Sweater,Clothing,975.48,5,2024-02-02
273,Watch,Accessories,1476.99,1,2024-02-04
274,Sunglasses,Accessories,236.56,2,2024-02-16
275,Laptop,Electronics,166.57,4,2024-02-13
276,Bracelet,Accessories,140.28,3,2024-02-08
277,Camera,Electronics,1257.17,2,2024-02-24
278,Mobile,Electronics,1257.65,2,2024-02-17
279,Backpack,Accessories,1433.84,2,2024-03-02
280,Cap,Clothing,773.02,5,2024-02-27
281,Belt,Accessories,51.32,3,2024-02-07
282,Shoes,Clothing,518.3,1,2024-02-29
283,Headphones,Electronics,1357.66,2,2024-02-06
284,Tablet,Electronics,1483.19,4,2024-02-23
285,Jeans,Clothing,1020.49,3,2024-02-28
286,Laptop,Electronics,601.08,1,2024-02-29
287,T-shirt,Clothing,314.95,4,2024-02-17
288,Smartwatch,Electronics,236.67,2,2024-02-25
289,Mobile,Electronics,577.9,1,2024-02-09
290,Laptop,Electronics,545.1,3,2024-02-16
291,Jeans,Clothing,267.02,3,2024-02-05
292,Watch,Accessories,888.02,1,2024-02-11
293,Tablet,Electronics,1243.52,1,2024-02-28
294,Camera,Electronics,770.07,3,2024-02-20
295,Sweater,Clothing,825.53,3,2024-02-03
296,Sweater,Clothing,1254.83,1,2024-02-05
297,Bracelet,Accessories,55.94,5,2024-02-23
298,Smartwatch,Electronics,624.46,4,2024-02-26
299,Wallet,Accessories,677.33,4,2024-02-12
300,Backpack,Accessories,1338.77,1,2024-02-28
301,Smartwatch,Electronics,972.58,5,2024-02-18
302,Shoes,Clothing,1081.14,5,2024-02-27
303,Smartwatch,Electronics,1254.83,1,2024-02-14
304,Sweater,Clothing,1464.94,1,2024-02-25
305,Camera,Electronics,442.58,1,2024-02-03
306,Mobile,Electronics,850.37,2,2024-02-17
307,Belt,Accessories,1207.22,3,2024-02-18
308,Mobile,Electronics,272.91,2,2024-02-08
309,Bracelet,Accessories,1015.57,3,2024-02-23
310,Laptop,Electronics,351.19,5,2024-02-28
311,Cap,Clothing,1019.52,1,2024-02-29
312,Cap,Clothing,468.04,2,2024-02-27
313,Jeans,Clothing,1244.69,4,2024-02-09
314,Smartwatch,Electronics,799.1,1,2024-02-05
315,Belt,Accessories,1124.11,4,2024-03-01
316,Smartwatch,Electronics,813.92,1,2024-02-03
317,Sweater,Clothing,1144.02,5,2024-02-21
318,Tablet,Electronics,69.07,3,2024-02-14
319,Wallet,Accessories,1184.69,3,2024-02-27
